,praise_comment
0,"精美绝伦的水下世界，宏伟瑰丽的海底奇观，堪称“海底《阿凡达》，水下潘多拉”。
亚特兰蒂斯的史诗级战争气势磅礴，媲美《星球大战》和《指环王》。
动作戏登峰造极，拳拳到肉，让人再次感受《钢铁之躯》的震撼。
飞船追逐更是眼花缭乱，引人入胜，仿佛把《速度与激情》搬到了海底。
寻找三叉戟的探险之旅同样其乐无穷，妙趣横生，又是《夺宝奇兵》的再现。
影片核心又回归到对家庭的探索和对自我的肯定，承载着成长和母爱，自信和亲情。
最后一个镜头让人热泪盈眶，正如托马斯终于等到与妻子重逢，我们也终于等到DC近几年最优秀的电影。
温子仁如卡梅隆和彼得·杰克逊附体，拍了一部动作、冒险、奇幻、超英等元素的集大成者。
它是《黑暗骑士》之后最好的超级英雄电影之一，从此影史将记住《海王》的名字。"
1,海底世界戏份多到超出想象，这是一部主打海洋英雄的片应有的样子，一本满足。撒哈拉沙漠、西西里岛、海沟族追逐戏、地心藏海…奔波全球海洋奇观，上天入地，美不胜收。温子仁手下的DC，不再暗黑，情节跌宕又完整，正如他的恐怖片一样吸人，吸入深海底。亚特兰蒂斯与亚瑟的历史传说，完美融入超级英雄剧情，陆地之子抑或海洋之王，海王不止粗汉也有柔情，三叉戟秒变金箍棒，这不就是《西游记之大闹龙宫》？红发女主的造型很美，特别是水母服。“海洋的世界里没有眼泪” 几十年的灯塔守护直接戳泪，爱一个人不就是这样的无私与痴情？2018最佳娱乐大赏，《狮子王》版《海底总动员》，《黑暗骑士》后最好的DC院线片。
2,马王没能统一的七国终于在变身海王后统一七海了。
3,咸水族的那个帝王蟹，好像很好吃的样子！
4,也别问DC粉儿了，就问你们刚从影院出来的，咱海王硬不硬？！咱海王猛不猛？！温子仁还拍下一集要不要？！！
5,大型海底捞现场，建议带一双筷子去看，毕竟海王他们都备了叉子。超爱的任达华和徐锦江演两父子，港片一代江湖。基德曼又美又帅，为了视觉平衡，抱谁都拍半身为妙，身为仙女级吃货，143分钟只吃一条金鱼。大多角色都有村炮亮相瞬间，长发角色能多甩两回。好些场景很棒，每一个鸡皮疙瘩都是物证。不知为什么海盗可以给自己做盔甲，但他分不清蝠鲼跟苍蝇。湄拉最后一句台词，非常欢乐今宵。不归迪士尼管，却给匹诺曹打了不少广告。看片前要做好放水蓄洪两手准备，不然他们进海出海时那种马桶抽水声会让你灵魂震颤。请欣赏权力的游戏＋海底总动员＋小美人鱼＋哪吒闹海＋星际迷航＋星球大战＋加勒比海盗＋斯巴达克斯＋妈妈咪呀＋罗拉快跑＋猜火车＋哥斯拉＋阿凡达＋侏罗纪世界＋驯龙高手+新白娘子传奇……可以的话就去看IMAX吧。
6,弟弟太惨了，妈不爱，爹没了，老婆跟人跑了，王位被抢了，信任的人早就跟别人跑了，我要是他我也要毁灭世界了😂
7,又翻身，dc的票房一直很好，好不好，自杀小队一亿多投资没国内市场近8亿刀票房，神奇女侠都是北美年度票房第二了，bvs也狂收近9亿刀票房，还要翻身。而且那是dc第一阶段，去看看当年惨烈的漫威第一阶段，就是今天，蚁人 奇异博士之流也就6亿左右票房，怎么没人喊仆街。所以别等了，有色眼镜一带加个双重标准，杠精找茬模式狂开，dc永远仆街，当然还要此地无银的说什么我是dc粉，对dc要求低之类巴拉巴拉，家仇国恨的，说实话真不像dc粉，倒是像漫威股东，何苦呢，到最后影响的是自己观影感受，可惜了好电影
8,"我收回妇联3的五颗星，文艺片才不分高下，商业片只争第一，今年第一，海王。瓦坎达野人方阵在海马禁军和克总触手、闸蟹狂战士面前没有一丁点排面，没有！泰坦星战士用虫海丧尸战术和铁人三项杀敌？多发展几万年全转基因紫薯去了？你打嘛呢弟弟？打不来架就不要打。啥叫格局，海王振臂一呼，
诸天鱼虾蟹卒，听我号令，天不生我阿Q曼，DC万古如长夜，封狼烟，点海马禁军千骑，撒孜然百缕，随我先斩MCU后军贼首，得胜归来，共饮索尔神血，赏汝千杯！杀杀杀！DC干死漫威，亚特兰蒂斯万岁万岁万万岁！"
9,女王：维科，这是我大儿子，剩下的话不用我多说了吧，以后该怎么办，你自己招子放亮一点，好处不会少了你的。维科：晓得了。
10,海王刀枪不入，谁给他做的纹身？
11,温导这是比着指环王在拍啊，这特效叹为观止
12,7分。温子仁确实很厉害，原以为这该是系列中最无趣的一部，尤其各种水下戏份。结果，却难得拍的很好看。影片节奏感和大场面掌控上，确实很见功力。以及，温子仁还融入了很多他自己的趣味，也算很有趣的细节了。整体可看性还不错，就是略长了，海底的光怪陆离，看久了也会有些视觉疲劳。
13,满足了年少时自己对海洋的所有幻想。杰森·莫玛凭一己之力掀起了长发狂野糙汉的审美新潮流，隔壁雷神克里斯·海姆斯沃斯大型溜粉现场？
14,找一个亮堂点的IMAX厅，绝对爽炸
15,语文不好，牛逼就完事了！阿凡达之后最牛逼的视觉大片！没有之一！
16,美轮美奂的2个多少时，海底的几个镜头简直美到爆炸！感谢豆瓣观影团！
17,放心去看。幼稚园爱情，深海驱魔式窒息，比素鸡更成熟的大场面运镜，远超MCU的动作指导，反派人格塑造，这是完全的的温子仁风格。别出心裁混合了Cyber效果，配合电音，有的段落特别、特别Tron！还有雨夜决战扎导式慢镜+45度仰角cape porn，是温导写给PW的情书。七国设定炫目而让人信服，必买设定集。它不完美，海王性格必然和原作有差，但是瑕不掩瑜，也为超英片带来了新的元素。如果正联完全是扎导的正联，那么我现在可以感叹What a ride了。你们知道吗，最妙的是，你甚至可以从中看出MOS😭
18,也没多好，也就比雷神好了一百个黑豹吧
19,轻轻松松、啪啪砰砰，这样的超级英雄电影不挺好？温子仁真DC良心大管家——从头到尾堆特效，经费才烧1.6亿！欣赏不来海王徐锦江，51岁的妮可真的美炸了~~~~~
20,故事老套了一点 但是昨晚我的主要任务是努力让自己不要在影院里发大水…Jason太尼玛适合这个角色了，就算他能轻而易举的把我操坏我也心甘情愿地承受这份痛苦
21,"1、全程舔腿。海王、湄拉、妮可的腿加起来有十米长吧…温子仁还老是仰拍…腿控福利不解释。2、意大利大战黑蝠鲼，屋顶跑酷帅到炸裂。湄拉出彩，动作戏干净利落，脸又美。有个进攻瞬间让我想到另一位红发女超英。3、到达海沟族那场戏，绝了！！不愧是温子仁，这什么神仙cult脑洞！！！镜头一拉开，情不自禁卧槽出声，年度十佳场景预定。愿意为这场戏二刷。4、野心大，场面大，每一帧都是钱。（虽然鲨鱼坐骑和沧龙总让我想起西游记…）5、世界观塑造很完整，人物个性也出来了。因为交待背景的关系，前面文戏稍有点长，但是进入海底世界后就一路高潮到尾，总体又猛又爽。6、DC粉感谢温子仁吧。起码是这两年最有创造力的超级英雄大片了。"
22,我宣布！2018就是骨科文艺复兴之年！！！
23,C＋/ 前半段还以为不过是插科打诨强行炫视效卖动作复古美术的海洋版《黑豹》，后半段则把后者的瑕疵都打了个包扬弃。当主角从国族、血统、力量与对立翻转到人类、混杂、沟通与融合，影片的历史臆想语境完全变成了现实，进步与落后、技术与自然的对立也走向汪洋大海的联合。在这个不断崩溃甚至滑落到倒退边缘的世界，居然还是要靠好莱坞宣告虚幻的平等，这恐怕才是处于文化交界处的真正的Crazy Asian温子仁之力量所在。
24,天空属于卢卡斯 陆地属于杰克逊 海洋属于温子仁！！！
25,东有沉香劈山救母，西有海娃寻叉救母。绿色秋裤哲学变身，刺身放题海底大战。同母异父兄弟相残，弟妹大伯不伦之恋。温子仁携手徐锦江，亚裔之光拯救好莱坞！
26,特效和场景都非常不错，但是剧情和主角都非常不真实，唯一的真实人类就是那个收到新衣服以后改颜色镶铆钉的生命力很旺盛的青蛙反派。
27,3.5；失落的亚特兰蒂斯之国，古远传说提供与一般超英片迥异的丰富背景，DC另辟蹊径，开启美妙神秘的水下世界，星站兵密集，温子仁不负众望且适时塞私货，海沟一战jump  scare其乐无穷。视效惊人，音效震人，抛却鸡汤亲情，大场面调度甚是过瘾。妮可基德曼真·女神，形象太契合。
28,DC这明显是拼了啊，完全放开手脚让温子仁施展才华，电影俨然是在一部超级英雄的起源片基础之上，拍摄成了海底版《星球大战》，剧情杂糅了科幻、动作、冒险、奇幻史诗甚至是克苏鲁恐怖元素，想象力和娱乐性几乎已经做到了极致，尤其是温子仁在动作场面上的调度实在令人惊叹。这固然不能说是最好的DC超级英雄片，却一定是近两年最酷炫的超级英雄电影，温子仁确实给DC立了一大功！！！
29,最后的海鲜大战把我看馋了……
30,"温子仁牛B！（破音）
「海王」不应该被拿来和其他超级英雄电影比较，这会让别的影片看起来格局小的可怜。
在「海王」面前，「正义联盟」就如同过家家，「黑豹」则像是地主家的傻儿子争财产。
看完「海王」，我脑中出现的比较项是「加勒比海盗」、「魔戒」、「阿凡达」，是那些真正在银幕上构建了一个全新世界的影片。
「海王」的前半段对海底世界的华丽梦幻展现，治好了我多年的深海恐惧，令我恨不得走出影院就搞一艘鹦鹉螺号去海底两万里。
然而海沟族攻船一段又让我立马放弃了这个念头，詹姆斯温拿出自己拍恐怖片的看家本事，让一部pg-13特效大片瞬间cult了起来。单是这短短几分钟，就足够成为我二刷的理由。
「海王」视觉效果的惊艳，是想象力、调度能力、动作设计和节奏感整体作用的结果，绝非一句“特效好”就能概括。"
31,把他留住@华纳
32,"不愧是拿走了
弥林女王，安达尔人、洛伊拿人和先民的女王，大草原的卡丽熙，解放者，七大王国的统治者，多斯拉克草海的主人，阿斯塔波的统治者，打碎镣铐之人，龙之母，不焚者，风暴降生丹妮莉丝
一血的男人！"
33,7分。一部黄金圣斗士找到圣衣打败白银圣斗士的故事……兄弟决斗这种梗刚在[黑豹]里看过，不过[海王]确实很像水下的[阿凡达]，动作设计不错，应该是从游戏得益不少，视效也不错，水下那种衣袂飘飘的感觉特别好，不过唯独从水里上岸之后的镜头丑爆了，妮可基德曼也扛不住……生态主题其实可以再挖深一些。男主人设太糙汉，简单粗暴了。黑蝠鲼那条线……添头都不算吧。很好奇往下怎么编。
34,温子仁说他要休息！你不许休息！你给我接着拍！
35,剧情在我这种土鳖眼中，那就是沉香他娘小龙女枯居海心二十载等待孙猴子来提取定海神针……啊，海王这人的性格完全不讨喜，临阵脱逃近乎懦夫，反而是一干配角不论忠奸都勇敢执着，更让我喜欢。但是动作场面是真好看，他娘和他媳妇砍杂兵的两个长镜头，兄弟海中对决的360度自由运动，都非常扎克施耐德，金隼奖备选。海底世界的美术惊艳。最后的克苏鲁复活直接穿越怪兽电影，绝对惊喜。
36,杀马特温拍了部武侠片质感的超级英雄…三叉戟换成金箍棒，海王变成孙猴子，这就是西游记第一部大闹龙宫啊。
37,前半段是高质量的好莱坞爆米花，不过是动作和特效的刺激，开始怀疑刷口碑。结果海沟国之后全程开挂！那画风、那色彩和运镜，碾压十个扎克·施耐德！角色和感情真正的带入，风格完全不是DC，类似但也不是漫威，那是温子仁，温神牛逼！
38,渔夫和灯塔守护多数是鳏夫，私下里经常养一些人鱼交欢。海洋远比陆地深远得多，人们赞美阳光下的海洋，却不知深夜降临海面上会冒出可怕的妖怪，海底也会藏着嘲笑人类的高级文明。所以！温子仁同样是一个借大热系列ip来讲自己故事的导演！！
39,这片要是坐在寝室的电脑前看，观感必然大打折扣。当置身于IMAX厅，外加座椅有震感效果，此等视觉奇观是无与伦比的美丽，回忆起当年看到《阿凡达》的震撼与感动，一度想哭，这曾是我喜欢走进影院观影的初衷。除此之外，温子仁对于节奏的把控和镜头的调度真是高手，哪怕剧情马虎，却依旧让人看得过瘾。
40,知道为什么这是近几年最好看的DC真人片吗？因为它真的很漫威！好想看海王和雷神比蠢～詹姆斯温的视听真是没话说，这么多炫酷的运动长镜头，爽的一批，都让人给忘了这片子把《黑豹》的故事又说了遍。
41,奥姆对陆地人开战师出有名，有站得住脚的立场和道理，并非为满足个人征服欲和权力欲望，即使有私欲，不是纯粹为反抗陆地人，那私欲也是为让“亚特兰蒂斯再度复兴”。亚瑟作为对王位有继承权的野种，奥姆非但没斩草除根，即便亚瑟当面来反对和阻碍他了，他依然想给半兄长一条生路，劝说他置身事外，比起许多东西方王室内斗故事里的龌龊狠毒，他可谓光明磊落了。无论是国王挑战还是最后海面决战，他都很实诚地凭自身真实实力在打，没有搞阴谋偷袭之类卑鄙伎俩，反而是亚瑟凭借黄金三叉戟才能击败他，而一旦落败，他也便立刻承认了失败，并没有试图用不堪手段翻盘。他出战总是亲临战场身先士卒，是战斗型国王，武力值在海里是一等一的。他的臣属并没有对他不忠。比起超英片里大多数简单粗暴中二病反派，或莫名其妙为反而反的反派，奥姆是有层次并且合理的。
42,实力心疼一波帅弟弟，爸没得早，妈妈不想，舅舅不疼，女友还劈腿，一心致力于环保，辛苦20年结果沦为阶下囚。至今不能相信海王居然靠嘴炮说跑了史前大怪兽，以及最后打败弟弟的绝招竟然是齐天大圣定海神针同款用法（耍棍棍）。良心推荐，画面实在是太美了，带着信号弹驱散海怪坠入深渊一幕太梦幻了。不过话说回来，人类倾倒的石油和垃圾怎么处理请海王陛下下集好好讲一下。
43,今年最瑰丽的视觉奇观、最燃的群战、最浪漫的吻、最孤独的海怪都在这里了。
44,跟小动物讲话，带领小动物们打败坏蛋这不是辛德瑞拉的技能吗！为什么出现在一个壮汉身上啊！大型小公主，可爱可爱。
45,多个一星，给最后的孙悟空。讲的是找龙王借定海神针，率领虾兵蟹将斗败六耳猕猴的故事。讲的也是青铜圣斗士角斗失败后找到黄金圣衣，战胜白银圣斗士的故事。影片的动作场面大大优于舞美，海底世界大概齐有西游记的影子，至于服装造型就更有些露怯。漫威DC的最大贡献在于把罗马半神人的形象具化了，贡献了男有美队雷神黑豹海王女有神奇女侠黑寡妇海后一系列长腿波霸。
46,阿凡达夺宝奇兵魔戒黑豹邦德侏罗纪环太徐老怪，烫金蛤蟆皮神秘暗示，招魂精灵男反骨自嘲，亚裔王温子仁自我毁灭，第一部当最后一部做，进化为不具名影坛海怪，苍蝇头坎爷可以活十集。
47,好好看哦，爽死了，怎么拍得这么二次元，海底世界那几个国家做得像迪士尼动画一样超绝绚丽又各有特色，整个故事也像迪士尼一样温馨，女主角甚至有一头小美人鱼爱丽儿般的绝美红色长发，最后那场海底战争更是做得爆炸好看，不过挨打的都是鲨鱼鳄鱼海马和雪蟹，好可怜，请狗逼海底人不要打鲨鲨好么！海底人也太不爱护动物了！我要再去看一遍，视觉狗的飨宴！香！
48,海底版《阿凡达》+《星球大战》，出现了目前为止最符合超英电影主题的一句台词：国王为自己的国家而战，而英雄为所有人而战。
49,海王如何拯救了亚特兰蒂斯没让他们攻上陆地碰到超人的故事
50,温子仁救了DC，他创造了真正的英雄史诗，这也是影史上最为壮观和浪漫的海底奇观！如果现在的超英风向标是把英雄变成了普通人，那《海王》反其道行之把普通人变成神话。DC毫无疑问的绝地反击之作，偶有小瑕疵，不足挂齿！
51,看完2转头回来给1打个四星
52,Talking to fish 这个梗玩的妙啊，整体也是有板有眼的精彩；所以说DC要是早点找温子仁、詹金斯这些个按部就班堆桥段、攒特效的导演按基本形成的超英类型片框架去构筑电影宇宙而不是使出钦点某某某做总指挥还用另一个某某某演蝙蝠侠这种自毁型大招的话，现在或许已经可以看到漫威的后脑勺了。
53,年度最爽翻超英电影，看特效已值回去水族馆的票钱！温导成功帮助故作深沉却屡屡失败的DC抢回观众缘，竟然打造了一个如此豪华的阵仗，如果不是在海底可以开发旅游线路了！迥异其他一些单篇超英电影潦草糊弄只为完成连接叙事，温导是希望两个半小时都热血欢腾，大主角海王没有外援也会失败，登基还有公主一半功劳呢！几组回忆杀拍得深情又有水平，脱离深海的寻戟之旅瞬间切换到谍战冒险片模式。希尔德美艳似黑寡妇，基德曼演起这类角色也越来越能打动人，威廉.达福莫不是奇异博士那边的法师兄长？
54,跟幻想中的亚特兰蒂斯不太一样，感觉跟西游记里的龙王宇宙能连上……
55,奔波儿灞和灞波儿奔打起来了！最终奔波儿灞凭借一口与海鲜无障碍交流的好外语，拿到了金箍棒。【啥
56,想象中的沙和尚，大概就应该是这个样子了……
57,西西里岛和海沟国（这里真的是恐怖片的拍法了）两场戏最喜欢
58,不好意思，从Aquadog出现开始已经丧失理性
